"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"mass";"chi.distance";"inertie"
"magistrado";-0,157782368946888;0,410340279628248;-0,305346310932743;-0,2947731895785;0,766608549775723;-0,570456043982777;0,129987429534401;0,599393360315454;0,27061921015015;0,000379376116214252;0,00256590954207553;0,00142081782339732;0,0152388797364086;0,317996981007471;0,00154098721474672
"suspeição";-0,361768597546677;0,136706671553142;-0,747732847021045;-0,429743138874346;0,162393183202507;-0,888228173748042;0,288008775346007;0,0280390066350886;0,68395221801891;0,00215612056294711;0,000307886557613486;0,00921094580748265;0,0164744645799012;0,489827550556136;0,00395273524355559
"paciente";0,837727911799945;0,37631373220712;-0,176681589386734;0,895765149214686;0,40238449947045;-0,188921973413118;0,860363283997867;0,118362804506931;0,021273911495194;0,00867118683124419;0,00174973671805171;0,000385704909739159;0,0123558484349259;0,656261994266269;0,00532141439602562
"habeas_corpus";-0,634579138986413;0,899261588483149;1,13674523829164;-0,401058290316681;0,568339381279656;0,718430647630596;0,240795375729109;0,329676402873886;0,429528221397005;0,00580484922870091;0,0116571248592435;0,0186271172929388;0,0144151565074135;0,939673376784942;0,0127283821772424
"penal";-0,562922159394037;-0,183558454791124;-0,327558769575478;-0,831911906099361;-0,271271012266274;-0,484081210536165;0,793201116953087;0,0575008983486635;0,149297984698248;0,00274073661790517;0,000291420029996459;0,000928002346804706;0,00864909390444811;0,459274030370614;0,00182437616739301
"hc";-0,383228583940986;-0,0882231793430043;-1,45486677714545;-0,254285792348483;-0,058539216548087;-0,965355839022917;0,110524880017897;0,00399345586415489;0,885481664117948;0,00163316803288063;8,65526742510186e-05;0,0235375651398366;0,0111202635914333;0,83761234768171;0,00780191516256153
"decisão";-0,314899396498277;0,248555976030585;0,53946676252369;-0,468402173769265;0,369718585588665;0,802438515450589;0,327202280009789;0,138982557699755;0,533815162290457;0,00110270346281073;0,000687010698910195;0,00323626790462535;0,0111202635914333;0,400017388471585;0,00177939686950161
"pr";-0,354487079536125;0,0024460346920746;-1,82601669326688;-0,190573323433252;0,00131499563005704;-0,981672083326249;0,0634911793699972;2,06099536189074e-06;0,93650675963464;0,00124211950139754;5,91408802125121e-08;0,0329588497274066;0,00988467874794069;1,02225422896455;0,0103295259502726
"art";-0,429885569833969;-0,880963720728755;0,377573013334861;-0,409236684830804;-0,838647998039309;0,359436880652712;0,23299076300609;0,667095841773949;0,0999133952199618;0,00205504253916386;0,00863040407145255;0,00158532012799288;0,0111202635914333;0,647140705311843;0,00465706733802749
"fato";0,218281929297919;-0,304849597579895;-0,49925826902319;0,349602949077174;-0,488250762130024;-0,799618015852566;0,190918828117402;0,25387717739508;0,555203994487519;0,000490599265424442;0,00095689123913328;0,00256650349246327;0,0102965403624382;0,36300165594889;0,00135677720574172
"stf";-0,0289360551472946;0,479275296077279;1,05817233987334;-0,0249016935683572;0,412453131466882;0,910638413422469;0,00107360745021969;0,20080576383545;0,798120628714331;8,96609451180774e-06;0,00245977143541147;0,0119905050340604;0,0107084019769357;0,641699598670743;0,00440948836420469
"jurisdicional";0,139176960930495;-0,170607126296653;-0,319003194030156;0,359066163054147;-0,440153641949591;-0,823004411912891;0,202229305995841;0,207177670452237;0,590593023551922;0,000175512760290226;0,000263735343472177;0,000922070358991645;0,00906095551894563;0,224885008888976;0,000458242124755306
"processo";-0,349621987583677;-1,36874643772201;0,408979721508154;-0,237724430133174;-0,930675067529614;0,278084544692089;0,0819002107314784;0,855800950701525;0,0622988385669978;0,000906194240376976;0,0138889631770925;0,00124001623842173;0,00741350906095552;0,887710650270474;0,00584206901765457
"ato";-0,127480146003358;-0,366696986824942;-0,397203208331852;-0,229521426383252;-0,660219007470263;-0,715143885526527;0,0830711265280485;0,468617922871539;0,448310950600413;0,000120478326709504;0,000996869951662625;0,00116963220624551;0,00741350906095552;0,321390255387522;0,000765753926130566
"elaboração";-0,321268277790947;0,0684140471576791;-1,89444473251294;-0,16709136540563;0,0355820893089865;-0,985299137585784;0,0491152919643342;0,00151848610220662;0,949366221933458;0,000850191979528508;3,85542162149353e-05;0,0295627746667712;0,00823723228995058;1,05335480987832;0,0091396734389934
"via";-0,429241881067974;0,512173211494598;0,270550017274011;-0,595384619706392;0,710415423562136;0,375269344047853;0,456307489679632;0,442921083797984;0,100771426522385;0,00174535322349414;0,00248492263886815;0,000693384749785938;0,00947281713344316;0,461730425734676;0,00201955711661033
"juiz";-0,563285871947125;-1,01866279020657;0,173199820600203;-0,478640857727695;-0,865588249096945;0,147173069340084;0,304670384515366;0,6793172219471;0,016012393537535;0,00248291947988856;0,00812018275242058;0,000234746861310918;0,00782537067545305;0,741530366886298;0,00430291532754367
"instância";-0,672298890631132;1,41102167551271;1,94171812393704;-0,269713960524421;0,566075966793682;0,778981629640153;0,115738383712865;0,347583547064336;0,5366780692228;0,00390926761335291;0,017220191739745;0,0326094129857236;0,00864909390444811;1,43594858685767;0,0178339848542296
"julgar";-0,632629320285385;0,977105468901554;1,03392469930556;-0,406337606719048;0,62759452496834;0,664089498181984;0,243238829413861;0,395600085627007;0,361161084959133;0,000824175982052613;0,00196609369307522;0,00220140091399112;0,00205930807248764;0,932069005301024;0,00178902930527768
"auto";-0,34458348567142;-1,63033597762738;0,78493588616615;-0,187073231574417;-0,8851039953134;0,426139089392843;0,0522295715137532;0,797115005505189;0,150655422981059;0,000831360064315038;0,0186103467047306;0,00431388544961057;0,00700164744645799;1,09559850481665;0,00840433007572487
"agravo";-0,590990185802394;1,23879500618062;-0,339815955916495;-0,417960323842157;0,876101117067319;-0,240324781009274;0,239271981618114;0,716752830972688;0,0439751874091992;0,00158235724747209;0,00695253037097137;0,000523156393266004;0,00453047775947282;0,877909094911246;0,00349174965741627
"ministro";-0,633859014187815;-0,0349673931259135;1,66391750206482;-0,355919677798554;-0,0196346238142206;0,934310261371161;0,206924634521479;0,000429331332035683;0,792646034146485;0,000661906507194644;2,01436339707114e-06;0,00456115560737665;0,00164744645799012;1,01251572076543;0,00168894247907271
"juízo";-0,315500160315692;-0,00647853039992359;-1,39037971074833;-0,221288515112732;-0,00454397351455318;-0,975197798081959;0,0847735674063975;2,43698866540632e-05;0,915202062706948;0,000737943295249628;3,1115502906475e-07;0,0143314675951775;0,00741350906095552;0,787380322533226;0,00459613669753933
"impetração";-0,425417455706825;0,397522295127685;0,694689604197373;-0,469337997694593;0,438562911632763;0,76641008374122;0,324927791288461;0,193427600993456;0,481644607718084;0,00156531311533008;0,00136676419999804;0,00417399776349998;0,00864909390444811;0,542296846757411;0,00254357630562753
"estar";-0,0524052595179666;-0,488985637779229;1,06969593564939;-0,0445120070957549;-0,415334880100901;0,908578900589199;0,00342501344257785;0,203303076965905;0,793271909591517;1,58354024514152e-05;0,0013787056653052;0,00659781364350391;0,0057660626029654;0,650667235603696;0,00244116553576367
"direito";0,734240355797827;-0,640253994876287;-0,32238596365668;0,715535053398815;-0,623943062779232;-0,314172948815181;0,615168592551023;0,318905098916864;0,0659263085321151;0,000666114785933426;0,000506497336847254;0,000128417680678969;0,00123558484349259;0,680230931177776;0,000571722553209618
"cf";-0,597497698529611;-0,646817346245245;0,957491299684398;-0,45931939508165;-0,497233299704435;0,736060282155522;0,309933181125066;0,247627078093665;0,442439740781269;0,00205850452902576;0,00241236306081235;0,00528626616375554;0,0057660626029654;0,779861359316654;0,00350682551753422
"processual";-0,338399104988545;0,315941767988397;-0,538505463674486;-0,476513879360878;0,444890767430906;-0,758291980592691;0,333112702543811;0,19796393920856;0,468923358247629;0,000801786335407668;0,000698898852106169;0,0020303946807758;0,00700164744645799;0,426038465031874;0,00127086044179331
"jurídico";-0,244238038004848;-1,09476636349382;0,305781495297565;-0,21007689861195;-0,94164334198795;0,263012382140745;0,0642290392100313;0,879806016387082;0,055964944402888;0,000294821511738671;0,00592345992077838;0,00046212021186037;0,00494233937397035;0,700265599716066;0,00242358439940215
"imparcialidade";-0,526268059473349;-0,554438678856296;-1,18398325832715;-0,373420429137295;-0,393409262944862;-0,840110906328503;0,218802192155781;0,165570858431678;0,61562694941254;0,00102661558228855;0,00113946467772127;0,00519618912849704;0,00370675453047776;0,817516224575301;0,00247734555065679
"federal";-0,569304441359136;-0,346650164564143;-0,0448229541703635;-0,852195839034682;-0,518903079584257;-0,0670957966637916;0,796038801978458;0,201218140577369;0,00274305744417307;0,000667437287790852;0,000247459506985888;4,13735012470862e-06;0,00205930807248764;0,463652553275444;0,000442697055516554
"respeito";-0,0308295189013351;0,321559182517599;-2,06045722766338;-0,0147819036825105;0,154178755737771;-0,987932389692065;0,000390899344974297;0,0289929559585687;0,970616144696457;3,13166140259564e-06;0,000340692941882657;0,0139884151137735;0,00329489291598023;1,13305105299181;0,00422999897425324
"regimental";-0,585991899449572;1,18822043017173;-0,456601113473542;-0,418166987194952;0,847920522237802;-0,325833022863352;0,241506326613345;0,676984202161698;0,0815094712249589;0,000989994045940538;0,00407045903407846;0,000601067560863652;0,0028830313014827;0,866448110426903;0,00216438480083874
"proferido";-0,545516269727084;-1,32289749837132;-0,168959988849136;-0,37859407963911;-0,918104901075335;-0,117260025088115;0,197523186660459;0,791943639094419;0,0105331742451228;0,00159334596663113;0,0093701611555034;0,000152848934025824;0,00535420098846788;0,891895285938278;0,00425914481632043
"judicial";0,521056107221644;0,113595089800385;0,0895873459368658;0,963549697999755;0,210062818484262;0,165667111325782;0,953437751258527;0,030894537457548;0,0156677112839244;0,00156548292266129;7,44043747836105e-05;4,6277798899573e-05;0,0057660626029654;0,387751530949073;0,000866934718511901
"defesa";0,0719138107316372;-0,272826140809265;-0,00381318333420141;0,254859344944947;-0,966883701796626;-0,0135137520432084;0,0924708491382405;0,907384625365672;0,000144525496089503;2,55597833967664e-05;0,000367878598561172;7,18634290291503e-08;0,00494233937397035;0,171840323825698;0,000145942818249691
"cpp";-0,542216802116914;-0,058254244909751;-1,00783076669749;-0,47317469631098;-0,050836555666258;-0,879500626139063;0,341484984642337;0,00268732406130279;0,65582769129636;0,00205847777119612;2,37604900535788e-05;0,00711173332913294;0,00700164744645799;0,674221143351329;0,00318276793756736
"atuação";-0,564181200882221;-2,06806968699195;0,815304999735607;-0,245996215805423;-0,901726814410692;0,355492073022954;0,0883261959064035;0,809136623480091;0,102537180613507;0,0011798615514251;0,0158534637859534;0,0024639621842442;0,00370675453047776;1,37939627943717;0,00705296822962351
"tribunal";-0,331054555463052;1,5321648077695;0,582183818495324;-0,197982135983253;0,916287833273544;0,348166167837116;0,0577286002964539;0,843028142953489;0,0992432567500588;0,000586805001238431;0,0125691420824446;0,00181474216669331;0,00535420098846788;1,00119634865135;0,00536701963393173
"próprio";-0,274166376419114;-0,571601742060294;-1,01166379939306;-0,229642359569153;-0,478774875661277;-0,847371822240414;0,0867125629933505;0,256968531465776;0,656318905540873;0,00046437727734012;0,0020185042310113;0,00632288082579734;0,00617792421746293;0,676532061663002;0,00282760891963339
"parcialidade";0,641356526390256;0,00582774905334105;-0,339020391571773;0,884056359319172;0,00803306491651337;-0,467311270370593;0,865515113269075;4,87210366482868e-05;0,134436165694276;0,00271063060259226;2,23806649283147e-07;0,000757395887324402;0,00658978583196046;0,500930405237209;0,0016535833337141
"medida";0,579817538200881;0,0353212840675601;0,902517422056937;0,540219269961913;0,0329090395442365;0,840880571471415;0,42564526014089;0,00107690474292988;0,573277835116179;0,00180002014368587;6,6798642530299e-06;0,00436119854304444;0,00535420098846788;0,645777113426477;0,00223285215936187
"interceptação";2,31633140478715;0,112067050086241;0,0609719142474584;0,998486628651314;0,0483080490089849;0,0262827853447664;0,998022895391607;0,0015927008456427;0,000384403762749585;0,0353567787598233;8,2761276540573e-05;2,44980186293207e-05;0,00658978583196046;1,68478949398672;0,018705210141997
