"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"4";"***";"";""
"**";"classe";"1";"**";"";""
"****";"41";"205";"20";"****";""
"0";"24";"0.00";"-6.80";"pr";"0.009138382"
"0";"20";"0.00";"-5.54";"elaboração";"0.018580843"
"1";"27";"3.70";"-5.16";"hc";"0.023096179"
"0";"15";"0.00";"-4.05";"próprio";"0.044274759"
"0";"13";"0.00";"-3.47";"proferido";"0.062489343"
"0";"13";"0.00";"-3.47";"telefônico";"0.062489343"
"0";"12";"0.00";"-3.19";"ação";"0.074247529"
"0";"12";"0.00";"-3.19";"autoridade";"0.074247529"
"0";"12";"0.00";"-3.19";"prever";"0.074247529"
"0";"11";"0.00";"-2.91";"mesmo";"0.088254454"
"0";"10";"0.00";"-2.63";"referido";"0.104980328"
"0";"10";"0.00";"-2.63";"prova";"0.104980328"
"1";"18";"5.56";"-2.57";"processo";"0.108690553"
"1";"18";"5.56";"-2.57";"juízo";"0.108690553"
"2";"25";"8.00";"-2.56";"fato";"0.109425420"
"0";" 9";"0.00";"-2.35";"imparcialidade";"0.125016797"
"0";" 9";"0.00";"-2.35";"atuação";"0.125016797"
"0";" 9";"0.00";"-2.35";"caso";"0.125016797"
"0";" 9";"0.00";"-2.35";"momento";"0.125016797"
"0";" 9";"0.00";"-2.35";"indicativo";"0.125016797"
"0";" 9";"0.00";"-2.35";"objeto";"0.125016797"
"1";"17";"5.88";"-2.31";"auto";"0.128615488"
"0";" 8";"0.00";"-2.08";"respeito";"0.149121118"
"0";" 8";"0.00";"-2.08";"voto";"0.149121118"
"0";" 8";"0.00";"-2.08";"informação";"0.149121118"
"0";" 8";"0.00";"-2.08";"termo";"0.149121118"
"0";" 8";"0.00";"-2.08";"expor";"0.149121118"
"0";" 8";"0.00";"-2.08";"condução";"0.149121118"
"1";"16";"6.25";"-2.05";"interceptação";"0.152138434"
"*****";"*";"*";"*";"*";"*"
" 0";" 20";" 0.00";"-5.54";"164493";"0.01858084"
" 0";" 15";" 0.00";"-4.05";"2016";"0.04427476"
" 0";" 12";" 0.00";"-3.19";"já";"0.07424753"
" 0";" 10";" 0.00";"-2.63";"haver";"0.10498033"
" 1";" 17";" 5.88";"-2.31";"sua";"0.12861549"
"20";"121";"16.53";"-2.22";"que";"0.13591079"
" 0";"  8";" 0.00";"-2.08";"7";"0.14912112"
" 0";"  8";" 0.00";"-2.08";"fazer";"0.14912112"
" 0";"  8";" 0.00";"-2.08";"sem";"0.14912112"
"*";"*";"*";"*";"*";"*"
"4";"47";"8.51";"-5.03";"*vot_02";"0.0248955"
"**";"classe";"2";"**";"";""
"****";"70";"205";"34.15";"****";""
"0";"21";" 0.00";"-12.13";"instância";"0.0004957344"
"0";"13";" 0.00";" -7.20";"telefônico";"0.0073019655"
"3";"26";"11.54";" -6.77";"stf";"0.0092799149"
"6";"35";"17.14";" -5.43";"habeas_corpus";"0.0198326897"
"0";" 9";" 0.00";" -4.88";"ordem";"0.0271546324"
"0";" 9";" 0.00";" -4.88";"pena";"0.0271546324"
"1";"14";" 7.14";" -4.87";"estar";"0.0272857755"
"1";"13";" 7.69";" -4.32";"medida";"0.0376730969"
"1";"13";" 7.69";" -4.32";"advogado";"0.0376730969"
"1";"13";" 7.69";" -4.32";"supressão";"0.0376730969"
"0";" 8";" 0.00";" -4.32";"voto";"0.0377422431"
"0";" 8";" 0.00";" -4.32";"informação";"0.0377422431"
"0";" 8";" 0.00";" -4.32";"termo";"0.0377422431"
"2";"17";"11.76";" -4.13";"auto";"0.0421401389"
"0";" 7";" 0.00";" -3.76";"garantia";"0.0525569815"
"0";" 7";" 0.00";" -3.76";"ver";"0.0525569815"
"0";" 7";" 0.00";" -3.76";"terminal";"0.0525569815"
"0";" 7";" 0.00";" -3.76";"sigilo";"0.0525569815"
"0";" 7";" 0.00";" -3.76";"contexto";"0.0525569815"
"0";" 7";" 0.00";" -3.76";"inviabilidade";"0.0525569815"
"2";"16";"12.50";" -3.62";"interceptação";"0.0572181331"
"0";" 6";" 0.00";" -3.20";"impetrantes";"0.0734173928"
"0";" 6";" 0.00";" -3.20";"público";"0.0734173928"
"0";" 6";" 0.00";" -3.20";"autorização";"0.0734173928"
"0";" 6";" 0.00";" -3.20";"superior";"0.0734173928"
"0";" 6";" 0.00";" -3.20";"ex_presidente";"0.0734173928"
"0";" 6";" 0.00";" -3.20";"devido";"0.0734173928"
"0";" 6";" 0.00";" -3.20";"áudio";"0.0734173928"
"0";" 6";" 0.00";" -3.20";"resposta";"0.0734173928"
"0";" 6";" 0.00";" -3.20";"pertencente";"0.0734173928"
"0";" 6";" 0.00";" -3.20";"luz";"0.0734173928"
"0";" 6";" 0.00";" -3.20";"lei";"0.0734173928"
"0";" 6";" 0.00";" -3.20";"interceptar";"0.0734173928"
"0";" 6";" 0.00";" -3.20";"familiar";"0.0734173928"
"0";" 6";" 0.00";" -3.20";"divulgação";"0.0734173928"
"1";"10";"10.00";" -2.73";"análise";"0.0987371417"
"0";" 5";" 0.00";" -2.66";"suspeito";"0.1030686069"
"0";" 5";" 0.00";" -2.66";"normativo";"0.1030686069"
"0";" 5";" 0.00";" -2.66";"ofício";"0.1030686069"
"0";" 5";" 0.00";" -2.66";"obstante";"0.1030686069"
"0";" 5";" 0.00";" -2.66";"escritório";"0.1030686069"
"0";" 5";" 0.00";" -2.66";"parcial";"0.1030686069"
"0";" 5";" 0.00";" -2.66";"jurisprudência";"0.1030686069"
"2";"14";"14.29";" -2.64";"cf";"0.1044802578"
"1";" 9";"11.11";" -2.22";"atuação";"0.1361210548"
"1";" 9";"11.11";" -2.22";"caso";"0.1361210548"
"1";" 9";"11.11";" -2.22";"legal";"0.1361210548"
"0";" 4";" 0.00";" -2.12";"ministro";"0.1458287892"
"0";" 4";" 0.00";" -2.12";"cumprimento";"0.1458287892"
"0";" 4";" 0.00";" -2.12";"indicar";"0.1458287892"
"0";" 4";" 0.00";" -2.12";"prestar";"0.1458287892"
"0";" 4";" 0.00";" -2.12";"conduta";"0.1458287892"
"0";" 4";" 0.00";" -2.12";"princípio";"0.1458287892"
"0";" 4";" 0.00";" -2.12";"preventivo";"0.1458287892"
"0";" 4";" 0.00";" -2.12";"possibilidade";"0.1458287892"
"0";" 4";" 0.00";" -2.12";"policial";"0.1458287892"
"0";" 4";" 0.00";" -2.12";"justificar";"0.1458287892"
"0";" 4";" 0.00";" -2.12";"empresa";"0.1458287892"
"0";" 4";" 0.00";" -2.12";"declaração";"0.1458287892"
"0";" 4";" 0.00";" -2.12";"ramal";"0.1458287892"
"0";" 4";" 0.00";" -2.12";"prévio";"0.1458287892"
"0";" 4";" 0.00";" -2.12";"passível";"0.1458287892"
"0";" 4";" 0.00";" -2.12";"investigativo";"0.1458287892"
"0";" 4";" 0.00";" -2.12";"inexistir";"0.1458287892"
"0";" 4";" 0.00";" -2.12";"episódio";"0.1458287892"
"0";" 4";" 0.00";" -2.12";"entendimento";"0.1458287892"
"0";" 4";" 0.00";" -2.12";"deferimento";"0.1458287892"
"0";" 4";" 0.00";" -2.12";"controlo";"0.1458287892"
"0";" 4";" 0.00";" -2.12";"constatar";"0.1458287892"
"0";" 4";" 0.00";" -2.12";"captar";"0.1458287892"
"0";" 4";" 0.00";" -2.12";"autorizado";"0.1458287892"
"0";" 4";" 0.00";" -2.12";"antecedente";"0.1458287892"
"0";" 4";" 0.00";" -2.12";"adotado";"0.1458287892"
"*****";"*";"*";"*";"*";"*"
" 1";"15";" 6.67";"-5.43";"seu";"0.01973835"
" 1";"11";" 9.09";"-3.25";"primeiro";"0.07163848"
" 1";"10";"10.00";"-2.73";"sob";"0.09873714"
" 0";" 5";" 0.00";"-2.66";"acercar";"0.10306861"
" 0";" 5";" 0.00";"-2.66";"nada";"0.10306861"
"21";"76";"27.63";"-2.28";"não";"0.13108914"
" 0";" 4";" 0.00";"-2.12";"p";"0.14582879"
" 0";" 4";" 0.00";"-2.12";"fim";"0.14582879"
"*";"*";"*";"*";"*";"*"
"7";"47";"14.89";"-10.05";"*vot_02";"0.001521779"
"**";"classe";"3";"**";"";""
"****";"65";"205";"31.71";"****";""
"3";"30";"10.00";"-7.65";"paciente";"0.005685316"
"0";"13";" 0.00";"-6.44";"tribunal";"0.011130373"
"0";"13";" 0.00";"-6.44";"telefônico";"0.011130373"
"0";"13";" 0.00";"-6.44";"supressão";"0.011130373"
"0";"12";" 0.00";"-5.92";"recurso";"0.014988334"
"0";"11";" 0.00";"-5.40";"agravo";"0.020174596"
"1";"16";" 6.25";"-5.19";"interceptação";"0.022664729"
"6";"37";"16.22";"-5.00";"magistrado";"0.025295561"
"0";"10";" 0.00";"-4.88";"stj";"0.027154632"
"2";"20";"10.00";"-4.82";"elaboração";"0.028087223"
"3";"24";"12.50";"-4.63";"pr";"0.031397016"
"0";" 9";" 0.00";"-4.37";"matéria";"0.036567450"
"0";" 9";" 0.00";"-4.37";"causa";"0.036567450"
"0";" 9";" 0.00";"-4.37";"sentido";"0.036567450"
"0";" 9";" 0.00";"-4.37";"quebra";"0.036567450"
"0";" 9";" 0.00";"-4.37";"pena";"0.036567450"
"0";" 9";" 0.00";"-4.37";"prisão";"0.036567450"
"0";" 9";" 0.00";"-4.37";"trf_4";"0.036567450"
"1";"14";" 7.14";"-4.19";"razão";"0.040729020"
"0";" 8";" 0.00";"-3.87";"respeito";"0.049299678"
"0";" 8";" 0.00";"-3.87";"órgão";"0.049299678"
"0";" 8";" 0.00";"-3.87";"só";"0.049299678"
"1";"13";" 7.69";"-3.70";"julgamento";"0.054516406"
"1";"13";" 7.69";"-3.70";"alegação";"0.054516406"
"1";"13";" 7.69";"-3.70";"advogado";"0.054516406"
"0";" 7";" 0.00";"-3.36";"regimental";"0.066599668"
"0";" 7";" 0.00";"-3.36";"ocorrer";"0.066599668"
"0";" 7";" 0.00";"-3.36";"ausência";"0.066599668"
"0";" 7";" 0.00";"-3.36";"terminal";"0.066599668"
"0";" 7";" 0.00";"-3.36";"sigilo";"0.066599668"
"0";" 7";" 0.00";"-3.36";"conjunto";"0.066599668"
"0";" 7";" 0.00";"-3.36";"circunstância";"0.066599668"
"0";" 7";" 0.00";"-3.36";"probatório";"0.066599668"
"0";" 7";" 0.00";"-3.36";"inviabilidade";"0.066599668"
"0";" 7";" 0.00";"-3.36";"coercitivo";"0.066599668"
"0";" 7";" 0.00";"-3.36";"acórdão";"0.066599668"
"1";"12";" 8.33";"-3.22";"parte";"0.072923745"
"8";"40";"20.00";"-3.15";"suspeição";"0.076129460"
"0";" 6";" 0.00";"-2.87";"público";"0.090261375"
"0";" 6";" 0.00";"-2.87";"possível";"0.090261375"
"0";" 6";" 0.00";"-2.87";"especial";"0.090261375"
"0";" 6";" 0.00";"-2.87";"autorização";"0.090261375"
"0";" 6";" 0.00";"-2.87";"superior";"0.090261375"
"0";" 6";" 0.00";"-2.87";"necessário";"0.090261375"
"0";" 6";" 0.00";"-2.87";"mérito";"0.090261375"
"0";" 6";" 0.00";"-2.87";"fático";"0.090261375"
"0";" 6";" 0.00";"-2.87";"ex_presidente";"0.090261375"
"0";" 6";" 0.00";"-2.87";"assentar";"0.090261375"
"0";" 6";" 0.00";"-2.87";"admitir";"0.090261375"
"0";" 6";" 0.00";"-2.87";"áudio";"0.090261375"
"0";" 6";" 0.00";"-2.87";"recorrente";"0.090261375"
"0";" 6";" 0.00";"-2.87";"pertencente";"0.090261375"
"0";" 6";" 0.00";"-2.87";"interceptar";"0.090261375"
"0";" 6";" 0.00";"-2.87";"familiar";"0.090261375"
"0";" 6";" 0.00";"-2.87";"divulgação";"0.090261375"
"0";" 6";" 0.00";"-2.87";"arguição";"0.090261375"
"5";"27";"18.52";"-2.50";"hc";"0.113998477"
"0";" 5";" 0.00";"-2.38";"exarar";"0.122939700"
"0";" 5";" 0.00";"-2.38";"tema";"0.122939700"
"0";" 5";" 0.00";"-2.38";"negar";"0.122939700"
"0";" 5";" 0.00";"-2.38";"conclusão";"0.122939700"
"0";" 5";" 0.00";"-2.38";"verificar";"0.122939700"
"0";" 5";" 0.00";"-2.38";"ordinário";"0.122939700"
"0";" 5";" 0.00";"-2.38";"justiça";"0.122939700"
"0";" 5";" 0.00";"-2.38";"impedimento";"0.122939700"
"0";" 5";" 0.00";"-2.38";"escritório";"0.122939700"
"0";" 5";" 0.00";"-2.38";"denúncia";"0.122939700"
"0";" 5";" 0.00";"-2.38";"jurisprudência";"0.122939700"
"0";" 5";" 0.00";"-2.38";"impossibilidade";"0.122939700"
"0";" 5";" 0.00";"-2.38";"decorrência";"0.122939700"
"0";" 5";" 0.00";"-2.38";"contraditório";"0.122939700"
"1";"10";"10.00";"-2.29";"provimento";"0.130403564"
"3";"18";"16.67";"-2.06";"juízo";"0.151060942"
"*****";"*";"*";"*";"*";"*"
"2";"20";"10.00";"-4.82";"164493";"0.02808722"
"2";"19";"10.53";"-4.34";"ter";"0.03725663"
"0";" 8";" 0.00";"-3.87";"contra";"0.04929968"
"1";"13";" 7.69";"-3.70";"ainda";"0.05451641"
"0";" 7";" 0.00";"-3.36";"excepto";"0.06659967"
