"";"classe 1";"classe 2";"classe 3";"classe 4"
"magistrado";1,393;2,795;-5,004;-0,414
"suspeição";-0,194;12,054;-3,146;-3,423
"paciente";0;-0,01;-7,647;14,675
"habeas_corpus";42,206;-5,427;-1,527;-6,954
"penal";-0,013;1,889;0,029;-3,855
"hc";-5,161;22,046;-2,498;-2,792
"decisão";5,641;-0,934;-0,062;-1,163
"pr";-6,796;29,246;-4,631;-2,229
"art";-0,523;-0,934;8,167;-2,792
"fato";-2,562;1,229;-0,181;0,803
"stf";12,73;-6,768;-0,315;0,038
"jurisdicional";-0,624;0,501;-0,224;0,33
"processo";-2,573;-1,248;11,137;-1,199
"ato";-0,974;0,931;0,024;-0,15
"elaboração";-5,541;25,488;-4,823;-1,527
"via";5,926;0,005;-1,189;-2,048
"juiz";-1,175;-0,061;6,632;-3,45
"instância";54,327;-12,132;-1,732;-3,855
"julgar";5,125;-0,456;-0,324;-0,844
"auto";-2,309;-4,13;17,154;-1,042
"agravo";4,707;2,151;-5,397;-1,915
"ministro";2,295;-2,115;0,63;-0,672
"juízo";-2,573;12,722;-2,062;-1,199
"impetração";7,64;-1,112;-0,106;-1,697
"estar";0,69;-4,873;2,322;0
"direito";-0,761;-0,001;0,004;0,923
"cf";0,69;-2,636;4,489;-2,476
"processual";0,144;2,912;-1,692;-1,042
"jurídico";-1,084;-0,474;4,173;-0,355
"imparcialidade";-2,353;4,427;0,011;-1,551
"federal";0;0,078;0,163;-0,844
"respeito";-2,081;10,539;-3,865;-0,019
"regimental";2,367;1,704;-3,365;-1,194
"proferido";-3,47;0,115;5,704;-2,287
"judicial";0,019;-0,208;-0,733;2,574
"defesa";-0,089;-0,004;0,016;0,067
"cpp";-0,786;7,699;-0,573;-3,054
"atuação";-2,353;-2,221;14,214;-1,551
"tribunal";14,968;-0,07;-6,444;-0,476
"próprio";-4,046;4,811;0,02;-0,746
"parcialidade";-0,61;0,087;-1,346;4,18
"medida";1,006;-4,32;-0,006;3,158
"interceptação";-2,051;-3,616;-5,194;52,915
"eventual";-0,865;0,025;2,8;-1,915
