"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"4";"***";"";""
"**";"classe";"1";"**";"";""
"****";"41";"205";"20";"****";""
"17";"21";" 80.95";"54.33";"instância";"1.697427e-13"
"12";"13";" 92.31";"45.36";"supressão";"1.641941e-11"
"21";"35";" 60.00";"42.21";"habeas_corpus";"8.215254e-11"
" 9";" 9";"100.00";"37.65";"pena";"8.451394e-10"
" 7";" 7";"100.00";"28.99";"inviabilidade";"7.275669e-08"
" 6";" 6";"100.00";"24.72";"superior";"6.616834e-07"
" 5";" 5";"100.00";"20.50";"jurisprudência";"5.963125e-06"
" 4";" 4";"100.00";"16.32";"preventivo";"5.354131e-05"
" 4";" 4";"100.00";"16.32";"inexistir";"5.354131e-05"
" 8";"13";" 61.54";"14.97";"tribunal";"1.093239e-04"
" 6";" 9";" 66.67";"12.81";"matéria";"3.443112e-04"
" 6";" 9";" 66.67";"12.81";"prisão";"3.443112e-04"
"12";"26";" 46.15";"12.73";"stf";"3.598539e-04"
" 3";" 3";"100.00";"12.18";"suposto";"4.835082e-04"
" 3";" 3";"100.00";"12.18";"conhecido";"4.835082e-04"
" 3";" 3";"100.00";"12.18";"regime";"4.835082e-04"
" 3";" 3";"100.00";"12.18";"indevido";"4.835082e-04"
" 5";" 7";" 71.43";"11.98";"pretensão";"5.375960e-04"
" 4";" 5";" 80.00";"11.53";"verificar";"6.843598e-04"
" 4";" 5";" 80.00";"11.53";"ordinário";"6.843598e-04"
" 4";" 6";" 66.67";" 8.41";"forma";"3.725683e-03"
" 4";" 6";" 66.67";" 8.41";"possível";"3.725683e-03"
" 4";" 6";" 66.67";" 8.41";"admitir";"3.725683e-03"
" 4";" 6";" 66.67";" 8.41";"recorrente";"3.725683e-03"
" 3";" 4";" 75.00";" 7.71";"cumprimento";"5.482464e-03"
" 3";" 4";" 75.00";" 7.71";"necessidade";"5.482464e-03"
" 3";" 4";" 75.00";" 7.71";"justificar";"5.482464e-03"
" 3";" 4";" 75.00";" 7.71";"instrução";"5.482464e-03"
" 3";" 4";" 75.00";" 7.71";"fático_probatório";"5.482464e-03"
" 3";" 4";" 75.00";" 7.71";"pressupor";"5.482464e-03"
" 3";" 4";" 75.00";" 7.71";"coator";"5.482464e-03"
" 9";"21";" 42.86";" 7.64";"impetração";"5.709578e-03"
" 5";" 9";" 55.56";" 7.44";"sentido";"6.387353e-03"
" 4";" 7";" 57.14";" 6.25";"ausência";"1.242566e-02"
" 4";" 7";" 57.14";" 6.25";"exame";"1.242566e-02"
" 9";"23";" 39.13";" 5.93";"via";"1.492157e-02"
"10";"27";" 37.04";" 5.64";"decisão";"1.754394e-02"
" 3";" 5";" 60.00";" 5.12";"julgar";"2.358357e-02"
" 3";" 5";" 60.00";" 5.12";"negar";"2.358357e-02"
" 3";" 5";" 60.00";" 5.12";"inicial";"2.358357e-02"
" 3";" 5";" 60.00";" 5.12";"súmula";"2.358357e-02"
" 3";" 5";" 60.00";" 5.12";"estabelecer";"2.358357e-02"
" 5";"11";" 45.45";" 4.71";"agravo";"3.003788e-02"
" 4";" 8";" 50.00";" 4.68";"só";"3.046710e-02"
" 2";" 3";" 66.67";" 4.14";"cautelar";"4.178290e-02"
" 2";" 3";" 66.67";" 4.14";"criminal";"4.178290e-02"
" 2";" 3";" 66.67";" 4.14";"pressuposto";"4.178290e-02"
" 2";" 3";" 66.67";" 4.14";"específico";"4.178290e-02"
" 2";" 3";" 66.67";" 4.14";"submetido";"4.178290e-02"
" 2";" 3";" 66.67";" 4.14";"revolvimento";"4.178290e-02"
" 2";" 3";" 66.67";" 4.14";"rejeitar";"4.178290e-02"
" 2";" 3";" 66.67";" 4.14";"monocrático";"4.178290e-02"
" 2";" 3";" 66.67";" 4.14";"idôneo";"4.178290e-02"
" 2";" 3";" 66.67";" 4.14";"estreito";"4.178290e-02"
" 2";" 3";" 66.67";" 4.14";"coação";"4.178290e-02"
" 2";" 3";" 66.67";" 4.14";"apreciado";"4.178290e-02"
" 3";" 6";" 50.00";" 3.48";"recursal";"6.223653e-02"
" 3";" 6";" 50.00";" 3.48";"público";"6.223653e-02"
" 3";" 6";" 50.00";" 3.48";"fundamento";"6.223653e-02"
" 3";" 6";" 50.00";" 3.48";"grau";"6.223653e-02"
" 3";" 6";" 50.00";" 3.48";"fundamentar";"6.223653e-02"
" 3";" 6";" 50.00";" 3.48";"assentar";"6.223653e-02"
" 4";"10";" 40.00";" 2.63";"stj";"1.049803e-01"
" 4";"10";" 40.00";" 2.63";"análise";"1.049803e-01"
" 3";" 7";" 42.86";" 2.37";"regimental";"1.239629e-01"
" 3";" 7";" 42.86";" 2.37";"conjunto";"1.239629e-01"
" 2";" 4";" 50.00";" 2.29";"ministro";"1.298099e-01"
" 2";" 4";" 50.00";" 2.29";"princípio";"1.298099e-01"
" 2";" 4";" 50.00";" 2.29";"possibilidade";"1.298099e-01"
" 2";" 4";" 50.00";" 2.29";"pedir";"1.298099e-01"
" 2";" 4";" 50.00";" 2.29";"pedido";"1.298099e-01"
" 2";" 4";" 50.00";" 2.29";"cognitivo";"1.298099e-01"
" 2";" 4";" 50.00";" 2.29";"vez";"1.298099e-01"
" 2";" 4";" 50.00";" 2.29";"ofensa";"1.298099e-01"
" 2";" 4";" 50.00";" 2.29";"declinar";"1.298099e-01"
" 2";" 4";" 50.00";" 2.29";"aprofundado";"1.298099e-01"
"*****";"*";"*";"*";"*";"*"
" 4";" 6";"66.67";"8.41";"apontar";"0.003725683"
" 3";" 4";"75.00";"7.71";"fim";"0.005482464"
" 5";"10";"50.00";"5.91";"sob";"0.015025619"
" 3";" 5";"60.00";"5.12";"si";"0.023583571"
" 2";" 3";"66.67";"4.14";"691";"0.041782898"
"20";"76";"26.32";"3.01";"não";"0.082700444"
" 5";"13";"38.46";"2.96";"2";"0.085520695"
" 4";"10";"40.00";"2.63";"quando";"0.104980328"
" 2";" 4";"50.00";"2.29";"embora";"0.129809927"
"*";"*";"*";"*";"*";"*"
"37";"158";"23.42";"5.03";"*vot_01";"0.0248955"
"**";"classe";"2";"**";"";""
"****";"70";"205";"34.15";"****";""
"20";"24";" 83.33";"29.25";"pr";"6.375546e-08"
"17";"20";" 85.00";"25.49";"elaboração";"4.451878e-07"
"20";"27";" 74.07";"22.05";"hc";"2.662429e-06"
"11";"13";" 84.62";"15.72";"julgamento";"7.334588e-05"
" 7";" 7";"100.00";"13.98";"acórdão";"1.850338e-04"
"10";"12";" 83.33";"13.71";"parte";"2.128973e-04"
"13";"18";" 72.22";"12.72";"juízo";"3.613497e-04"
"23";"40";" 57.50";"12.05";"suspeição";"5.169330e-04"
" 6";" 6";"100.00";"11.92";"arguição";"5.552507e-04"
" 7";" 8";" 87.50";"10.54";"respeito";"1.169084e-03"
" 5";" 5";"100.00";" 9.88";"impossibilidade";"1.667286e-03"
" 5";" 5";"100.00";" 9.88";"contraditório";"1.667286e-03"
" 8";"10";" 80.00";" 9.83";"prova";"1.717103e-03"
" 6";" 7";" 85.71";" 8.57";"circunstância";"3.415937e-03"
" 7";" 9";" 77.78";" 7.97";"trf_4";"4.757972e-03"
" 4";" 4";"100.00";" 7.87";"incompetência";"5.032273e-03"
" 4";" 4";"100.00";" 7.87";"realizar";"5.032273e-03"
" 4";" 4";"100.00";" 7.87";"incidente";"5.032273e-03"
" 4";" 4";"100.00";" 7.87";"controvertido";"5.032273e-03"
" 4";" 4";"100.00";" 7.87";"confundir";"5.032273e-03"
" 4";" 4";"100.00";" 7.87";"writ";"5.032273e-03"
" 4";" 4";"100.00";" 7.87";"aforar";"5.032273e-03"
"11";"17";" 64.71";" 7.70";"cpp";"5.526219e-03"
" 5";" 6";" 83.33";" 6.65";"especial";"9.915000e-03"
" 5";" 6";" 83.33";" 6.65";"necessário";"9.915000e-03"
" 9";"14";" 64.29";" 6.07";"razão";"1.374924e-02"
" 8";"12";" 66.67";" 5.99";"ação";"1.434937e-02"
" 8";"12";" 66.67";" 5.99";"recurso";"1.434937e-02"
" 8";"12";" 66.67";" 5.99";"exceção";"1.434937e-02"
" 3";" 3";"100.00";" 5.87";"atividade";"1.538670e-02"
" 3";" 3";"100.00";" 5.87";"responsabilidade";"1.538670e-02"
" 3";" 3";"100.00";" 5.87";"amplo";"1.538670e-02"
" 3";" 3";"100.00";" 5.87";"registrar";"1.538670e-02"
" 9";"15";" 60.00";" 4.81";"próprio";"2.828298e-02"
" 4";" 5";" 80.00";" 4.79";"conclusão";"2.859203e-02"
" 4";" 5";" 80.00";" 4.79";"justiça";"2.859203e-02"
" 8";"13";" 61.54";" 4.63";"alegação";"3.138981e-02"
" 5";" 7";" 71.43";" 4.48";"interesse";"3.429613e-02"
" 5";" 7";" 71.43";" 4.48";"probatório";"3.429613e-02"
" 6";" 9";" 66.67";" 4.43";"imparcialidade";"3.537116e-02"
" 6";"10";" 60.00";" 3.12";"stj";"7.710356e-02"
" 3";" 4";" 75.00";" 3.03";"procedimento";"8.183893e-02"
" 3";" 4";" 75.00";" 3.03";"exercício";"8.183893e-02"
" 3";" 4";" 75.00";" 3.03";"respectivo";"8.183893e-02"
" 3";" 4";" 75.00";" 3.03";"extraordinário";"8.183893e-02"
" 3";" 4";" 75.00";" 3.03";"testemunha";"8.183893e-02"
" 3";" 4";" 75.00";" 3.03";"suscitado";"8.183893e-02"
" 3";" 4";" 75.00";" 3.03";"inimizade";"8.183893e-02"
" 3";" 4";" 75.00";" 3.03";"incursão";"8.183893e-02"
" 3";" 4";" 75.00";" 3.03";"apto";"8.183893e-02"
" 9";"17";" 52.94";" 2.91";"processual";"8.792040e-02"
" 4";" 6";" 66.67";" 2.91";"mérito";"8.819847e-02"
"17";"37";" 45.95";" 2.80";"magistrado";"9.453018e-02"
" 6";"11";" 54.55";" 2.15";"agravo";"1.424757e-01"
"*****";"*";"*";"*";"*";"*"
"17";" 20";" 85.00";"25.49";"164493";"4.451878e-07"
" 5";"  5";"100.00";" 9.88";"dizer";"1.667286e-03"
" 6";"  7";" 85.71";" 8.57";"2017";"3.415937e-03"
" 4";"  4";"100.00";" 7.87";"21";"5.032273e-03"
" 3";"  3";"100.00";" 5.87";"aqui";"1.538670e-02"
" 3";"  3";"100.00";" 5.87";"mormente";"1.538670e-02"
" 4";"  5";" 80.00";" 4.79";"8";"2.859203e-02"
" 7";" 11";" 63.64";" 4.50";"n";"3.398563e-02"
" 5";"  7";" 71.43";" 4.48";"excepto";"3.429613e-02"
" 5";"  7";" 71.43";" 4.48";"7000";"3.429613e-02"
" 5";"  7";" 71.43";" 4.48";"até";"3.429613e-02"
"60";"159";" 37.74";" 4.06";"em";"4.390739e-02"
" 7";" 12";" 58.33";" 3.32";"já";"6.860764e-02"
"10";" 19";" 52.63";" 3.18";"poder";"7.444676e-02"
" 3";"  4";" 75.00";" 3.03";"entre";"8.183893e-02"
" 3";"  4";" 75.00";" 3.03";"três";"8.183893e-02"
" 3";"  4";" 75.00";" 3.03";"quanto";"8.183893e-02"
" 5";"  8";" 62.50";" 2.98";"fazer";"8.449400e-02"
" 5";"  8";" 62.50";" 2.98";"contra";"8.449400e-02"
" 4";"  6";" 66.67";" 2.91";"11";"8.819847e-02"
" 7";" 13";" 53.85";" 2.40";"uma";"1.216849e-01"
"*";"*";"*";"*";"*";"*"
"63";"158";"39.87";"10.05";"*vot_01";"0.001521779"
"**";"classe";"3";"**";"";""
"****";"65";"205";"31.71";"****";""
" 8";" 8";"100.00";"17.93";"termo";"2.291203e-05"
"13";"17";" 76.47";"17.15";"auto";"3.447581e-05"
" 7";" 7";"100.00";"15.61";"ver";"7.784407e-05"
" 8";" 9";" 88.89";"14.21";"atuação";"1.631451e-04"
" 8";" 9";" 88.89";"14.21";"caso";"1.631451e-04"
" 6";" 6";"100.00";"13.31";"devido";"2.636120e-04"
" 6";" 6";"100.00";"13.31";"resposta";"2.636120e-04"
" 6";" 6";"100.00";"13.31";"lei";"2.636120e-04"
" 7";" 8";" 87.50";"11.97";"voto";"5.414052e-04"
" 7";" 8";" 87.50";"11.97";"expor";"5.414052e-04"
"12";"18";" 66.67";"11.14";"processo";"8.461146e-04"
" 5";" 5";"100.00";"11.04";"normativo";"8.924089e-04"
" 5";" 5";"100.00";"11.04";"ofício";"8.924089e-04"
" 5";" 5";"100.00";"11.04";"obstante";"8.924089e-04"
" 5";" 5";"100.00";"11.04";"parcial";"8.924089e-04"
" 7";" 9";" 77.78";" 9.23";"ordem";"2.384964e-03"
" 7";" 9";" 77.78";" 9.23";"legal";"2.384964e-03"
" 4";" 4";"100.00";" 8.79";"declaração";"3.034122e-03"
" 4";" 4";"100.00";" 8.79";"passível";"3.034122e-03"
" 4";" 4";"100.00";" 8.79";"controlo";"3.034122e-03"
"15";"27";" 55.56";" 8.17";"art";"4.265321e-03"
" 5";" 6";" 83.33";" 7.61";"luz";"5.811832e-03"
"11";"19";" 57.89";" 6.63";"juiz";"1.001612e-02"
" 3";" 3";"100.00";" 6.56";"substituto";"1.044429e-02"
" 3";" 3";"100.00";" 6.56";"regra";"1.044429e-02"
" 3";" 3";"100.00";" 6.56";"preservação";"1.044429e-02"
