"";"classe 1";"classe 2";"classe 3";"classe 4"
"magistrado";0,238;0,095;0,025;0,52
"suspeição";0,66;0,001;0,076;0,064
"paciente";1;0,919;0,006;0
"habeas_corpus";0;0,02;0,217;0,008
"penal";0,908;0,169;0,866;0,05
"hc";0,023;0;0,114;0,095
"decisão";0,018;0,334;0,803;0,281
"pr";0,009;0;0,031;0,135
"art";0,47;0,334;0,004;0,095
"fato";0,109;0,268;0,671;0,37
"stf";0;0,009;0,575;0,846
"jurisdicional";0,43;0,479;0,636;0,565
"processo";0,109;0,264;0,001;0,274
"ato";0,324;0,335;0,877;0,699
"elaboração";0,019;0;0,028;0,217
"via";0,015;0,946;0,276;0,152
"juiz";0,278;0,804;0,01;0,063
"instância";0;0;0,188;0,05
"julgar";0,024;0,499;0,569;0,358
"auto";0,129;0,042;0;0,307
"agravo";0,03;0,142;0,02;0,166
"ministro";0,13;0,146;0,427;0,412
"juízo";0,109;0;0,151;0,274
"impetração";0,006;0,292;0,744;0,193
"estar";0,406;0,027;0,128;0,988
"direito";0,383;0,976;0,951;0,337
"cf";0,406;0,104;0,034;0,116
"processual";0,704;0,088;0,193;0,307
"jurídico";0,298;0,491;0,041;0,552
"imparcialidade";0,125;0,035;0,915;0,213
"federal";1;0,78;0,687;0,358
"respeito";0,149;0,001;0,049;0,892
"regimental";0,124;0,192;0,067;0,274
"proferido";0,062;0,735;0,017;0,13
"judicial";0,89;0,649;0,392;0,109
"defesa";0,766;0,951;0,901;0,796
"cpp";0,375;0,006;0,449;0,081
"atuação";0,125;0,136;0;0,213
"tribunal";0;0,791;0,011;0,49
"próprio";0,044;0,028;0,888;0,388
"parcialidade";0,435;0,768;0,246;0,041
"medida";0,316;0,038;0,94;0,076
"interceptação";0,152;0,057;0,023;0
"eventual";0,352;0,873;0,094;0,166
"dia";0,178;0,621;0,314;0,027
"competência";0,774;0,735;0,94;0,49
"ação";0,074;0,014;0,901;0,147
"recurso";0,234;0,014;0,015;0,147
"ordem";0,865;0,027;0,002;0,213
"corte";0,774;0,735;0,589;0,13
"razão";0,213;0,014;0,041;0,418
"parte";0,298;0;0,073;0,147
"modo";0,495;0,44;0,021;0,213
"matéria";0;0,958;0,037;0,213
"julgamento";0,252;0;0,055;0,13
"exceção";0,766;0,014;0,249;0,147
"causa";0,865;0,166;0,037;0,477
"sentido";0,006;0,505;0,037;0,213
"provimento";0,418;0,777;0,13;0,14
"mesmo";0,088;0,416;0,314;0,621
"alegação";0,316;0,031;0,055;0,13
"advogado";0,252;0,038;0,055;0
"telefônico";0,062;0,007;0,011;0
"supressão";0;0,038;0,011;0,13
"interesse";0,701;0,034;0,314;0,274
"caso";0,125;0,136;0;0,213
"autoridade";0,074;0,951;0,607;0,005
"referido";0,105;0,278;0,905;0,586
"quebra";0,495;0,505;0,037;0,008
"prever";0,074;0,233;0,16;0,147
"stj";0,105;0,077;0,027;0,188
"prova";0,105;0,002;0,415;0,188
"precedente";0,306;0,166;0,174;0,213
"praticar";1;0,689;0,415;0,586
"pena";0;0,027;0,037;0,213
"operação";0,561;0,231;0,234;0,479
"momento";0,125;0,958;0,915;0,091
"garantia";0,564;0,053;0,022;0,274
"constitucional";0,214;0,966;0,062;0,313
"argumento";0,718;0,188;0,056;0,242
"alegado";0,418;0,278;0,415;0,188
"órgão";0,207;0,335;0,049;0,892
"voto";0,149;0,038;0,001;0,892
"prisão";0;0,44;0,037;0,789
"ocorrer";0,178;0,192;0,067;0,027
"limite";0,306;0,44;0,401;0,213
"legal";0,495;0,136;0,002;0,213
"judiciário";1;0,78;0,569;0,704
"indicativo";0,125;0,505;0,174;0,008
"impetrantes";0,214;0,073;0,062;0,171
"conhecimento";0,865;0,505;0,915;0,213
"bem";0,836;0,359;0,328;0,857
"ausência";0,012;0,752;0,067;0,991
"análise";0,105;0,099;0,563;0,7
"ver";0,178;0,053;0;0,274
"trf_4";0,865;0,005;0,037;0,213
"terminal";0,701;0,053;0,067;0
"suspeito";1;0,103;0,687;0,093
"sigilo";0,178;0,053;0,067;0
"relator";0,561;0,976;0,951;0,479
"questionar";0,214;0,966;0,328;0,857
