"";"x"
"1";3
"2";0
"3";4
"4";4
"5";4
"6";0
"7";3
"8";0
"9";2
"10";2
"11";2
"12";2
"13";1
"14";2
"15";0
"16";2
"17";2
"18";2
"19";2
"20";0
"21";0
"22";1
"23";2
"24";1
"25";3
"26";1
"27";0
"28";2
"29";2
"30";0
"31";2
"32";4
"33";0
"34";0
"35";0
"36";0
"37";0
"38";2
"39";0
"40";2
"41";2
"42";4
"43";4
"44";0
"45";0
"46";2
"47";2
"48";0
"49";2
"50";3
"51";2
"52";1
"53";4
"54";4
"55";4
"56";2
"57";2
"58";1
"59";0
"60";0
"61";3
"62";3
"63";1
"64";0
"65";3
"66";1
"67";2
"68";1
"69";1
"70";1
"71";1
"72";0
"73";2
"74";2
"75";1
"76";1
"77";2
"78";2
"79";2
"80";1
"81";0
"82";0
"83";1
"84";0
"85";2
"86";2
"87";1
"88";2
"89";0
"90";0
"91";3
"92";0
"93";2
"94";3
"95";4
"96";2
"97";0
"98";0
"99";2
"100";3
"101";1
"102";2
"103";2
"104";1
"105";1
"106";1
"107";1
"108";1
"109";2
"110";1
"111";0
"112";1
"113";0
"114";1
"115";1
"116";1
"117";3
"118";0
"119";1
"120";1
"121";1
"122";1
"123";0
"124";1
"125";1
"126";1
"127";0
"128";0
"129";2
"130";3
"131";3
"132";2
"133";3
"134";3
"135";2
"136";2
"137";0
"138";2
"139";2
"140";3
"141";2
"142";3
"143";2
"144";3
"145";0
"146";2
"147";3
"148";4
"149";2
"150";2
"151";0
"152";0
"153";0
"154";2
"155";0
"156";3
"157";0
"158";3
"159";2
"160";4
"161";1
"162";4
"163";4
"164";4
"165";3
"166";2
"167";4
"168";0
"169";4
"170";3
"171";3
"172";4
"173";2
"174";2
"175";3
"176";3
"177";4
"178";3
"179";4
"180";3
"181";2
"182";0
"183";0
"184";0
"185";2
"186";0
"187";1
"188";2
"189";2
"190";3
"191";0
"192";3
"193";0
"194";0
"195";0
"196";2
"197";0
"198";0
"199";3
"200";0
"201";3
"202";2
"203";0
"204";2
"205";2
"206";0
"207";3
"208";2
"209";3
"210";0
"211";4
"212";2
"213";3
"214";3
"215";0
"216";0
"217";3
"218";0
"219";3
"220";3
"221";0
"222";0
"223";3
"224";0
"225";4
"226";4
"227";4
"228";0
"229";3
"230";0
"231";3
"232";3
"233";3
"234";0
"235";4
"236";4
"237";4
"238";4
"239";3
"240";1
"241";4
"242";2
"243";2
"244";1
"245";3
"246";0
"247";3
"248";0
"249";3
"250";3
"251";3
"252";1
"253";2
"254";0
"255";3
"256";3
"257";3
"258";0
"259";3
"260";3
"261";3
"262";0
"263";0
"264";0
"265";0
"266";0
"267";3
"268";3
"269";0
"270";0
"271";0
"272";0
"273";0
"274";0
"275";0
"276";0
"277";0
"278";1
"279";0
"280";3
"281";2
"282";2
"283";2
"284";3
"285";0
"286";2
"287";3
"288";0
"289";3
"290";3
"291";3
"292";3
