"";"";"";"";"conducao";""
"1";"conducao";"2.05116215235654";"-0.968654176853814";"1.04457302159219";"158"
"2";"mendonça";"2.05116215235654";"-0.968654176853814";"1.04457302159219";"161"
"3";"anselmo";"2.05116215235654";"-0.968654176853814";"1.00347333631399";"193"
"4";"vladimir";"2.05116215235654";"-0.968654176853814";"1.00347333631399";"194"
"5";"ramal_tronco";"2.05116215235654";"-0.968654176853814";"1.00347333631399";"198"
"6";"noronha";"2.05116215235654";"-0.968654176853814";"1.00347333631399";"199"
"7";"camila";"2.05116215235654";"-0.968654176853814";"1.00347333631399";"203"
"8";"atar";"2.05116215235654";"-0.968654176853814";"1.00347333631399";"206"
"9";"premiar";"-0.530741854755605";"1.77250199548896";"0.976279269564913";"243"
"10";"colher";"-0.530741854755605";"1.77250199548896";"0.976279269564913";"245"
"11";"dignidade_da_pessoa_humana";"-1.59742226994634";"-1.78791077930928";"0.964726612839597";"258"
"12";"intuito";"-0.457818337343525";"1.86314020120889";"0.955160473047015";"273"
"13";"jogo";"-0.457818337343525";"1.86314020120889";"0.955160473047015";"279"
"14";"colaboração";"-0.328280452381999";"1.28945631068778";"0.949200922248814";"289"
"15";"realização";"-0.633736865652327";"1.40007651181789";"0.935681035162928";"298"
