"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"mass";"chi.distance";"inertie"
"juiz";-0,443283065172775;0,134201319052265;0,388225809774918;-0,733497139193042;0,22206190882208;0,642394314612075;0,716013081196225;0,0420475180734115;0,241939400730427;0,00258101661899264;0,000236560423805249;0,00197969063924435;0,0131349529233988;0,356768434523899;0,00167186561590232
"processo";-0,896852269068898;-0,52037637493121;0,0522894447262231;-0,863848869698091;-0,501226967701837;0,050365237711651;0,821555577482144;0,17721414722854;0,00123027528932026;0,00813413080907367;0,0027384478354097;2,76501435069832e-05;0,0101127513658026;0,673857704133543;0,00459204066855181
"direito";-1,44766692751422;-1,46985783344766;0,418877957333239;-0,687676906410412;-0,698218125010298;0,198977190393545;0,589137935189292;0,38913336140894;0,0217287034017701;0,0158343682025108;0,0163235305458078;0,00132567921702643;0,00755550389399047;1,2844757800091;0,0124656598759676
"magistrado";-0,312272427550791;1,51912997491197;-0,56200426895049;-0,18930404420201;0,920918475495434;-0,340695084114711;0,0568502038003288;0,86203070223843;0,0811190939612423;0,000702763254507121;0,0166315081485428;0,00227625543365705;0,00720678832965245;0,891935372021732;0,00573335114350109
"penal";-1,09201788117941;-0,270737407841558;0,441069933578669;-0,903653827848957;-0,224037444033147;0,364989017759469;0,899887110359156;0,0354399569117312;0,0646729327291133;0,0103961093759349;0,000639010322022256;0,0016960015660853;0,00871788910845054;0,783973702584018;0,00535814337739708
"morar";0,41538055126564;1,01544795273999;0,0279582836109755;0,378486566661743;0,925256149054678;0,0254750366656099;0,206994481524881;0,792592407647456;0,000413110827661328;0,00164458470235025;0,00982831950102926;7,45049181014564e-06;0,00953155875857259;0,621773968373553;0,00368492795016316
"decisão";-0,164581845736457;1,03445185611014;0,208204787609638;-0,154109400711514;0,968629042265831;0,194956587709976;0,0370138455717867;0,936890938762649;0,0260952156655661;0,000185765878509255;0,00733875949249953;0,000297292198236766;0,00685807276531443;0,582593433157571;0,00232773351076847
"fato";0,323399293336752;0,440127412622707;-0,17094497043397;0,565092065039907;0,769057056103879;-0,298700857859111;0,43293726350916;0,513773609592743;0,053289126898096;0,000765894163040189;0,00141855919778489;0,000213994830146491;0,00732302685109845;0,334728231997365;0,000820493819092543
"advogado";0,988049188062128;-0,427930383345381;0,253126826672168;0,893279650507495;-0,386885094279602;0,228847962222674;0,87024607315221;0,104592202192987;0,0251617246548044;0,00692208683945648;0,00129845277140505;0,000454314147768038;0,00709054980820644;0,721312220985982;0,0036891515202566
"caso";-0,442947400298986;-0,136293494980177;-0,274467613328846;-0,822375604305319;-0,253042336904;-0,509576236865127;0,813136519568344;0,0493261852340969;0,137537295197559;0,000957863626191847;9,06879582127496e-05;0,000367774470788118;0,0048820179007323;0,334530858265748;0,000546350993321486
"interceptação";1,40751987967169;-0,478021263442262;0,0167166511857016;0,946822611418499;-0,321559466052831;0,0112451010876735;0,931130187080291;0,068811952842645;5,78600770661935e-05;0,0138168932581959;0,00159366031595678;1,94894636892539e-06;0,00697431128676043;0,993379275177395;0,00688226700698803
"paciente";-0,0386818275309339;1,7734796096851;0,968215498086299;-0,0191405852935722;0,87755517001989;0,479093478943286;0,000615835308904842;0,829413570580945;0,169970594110152;8,52236490474404e-06;0,0179142469339151;0,00533937246146583;0,00569568755085435;1,06154999437556;0,00641840417730783
"sérgio";0,0158487543195686;1,55988038449412;0,0772318933702778;0,0101472840342823;0,998725136487454;0,0494483000197672;0,000160819359535672;0,9981568144161;0,00168236622436478;1,66423709967181e-06;0,016121577170055;3,9520123811787e-05;0,00662559572242241;0,851121830703062;0,00479963700219248
"prova";-0,776430498156369;0,228162734615918;0,684828412119392;-0,732386277441147;0,21521985065364;0,645980461392234;0,715283334425481;0,0395758709794418;0,245140794595081;0,00336353914755697;0,000290456260192476;0,00261670554390404;0,00557944902940835;0,625214863033696;0,00218097105637518
"ministro";-0,570404984843547;0,958125792721345;-0,228920611438154;-0,50109387672834;0,84170191464901;-0,201103986985721;0,347374322794382;0,627977772945255;0,0246479042603649;0,000680752439988213;0,00192073586239711;0,000109645894936874;0,00209229338602813;0,659098338065868;0,000908914465458724
