"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"4";"***";"";""
"**";"classe";"1";"**";"";""
"****";"157";"678";"23.16";"****";""
"3";"65";" 4.62";"-13.89";"direito";"0.0001939370"
"0";"36";" 0.00";"-11.46";"escritório";"0.0007123714"
"0";"29";" 0.00";" -9.13";"terminal";"0.0025152643"
"1";"34";" 2.94";" -8.22";"teixeira";"0.0041419297"
"0";"24";" 0.00";" -7.50";"político";"0.0061779583"
"0";"22";" 0.00";" -6.85";"afirmar";"0.0088547488"
"0";"22";" 0.00";" -6.85";"achar";"0.0088547488"
"0";"21";" 0.00";" -6.53";"falar";"0.0106040939"
"1";"28";" 3.57";" -6.30";"pessoa";"0.0121035491"
"0";"20";" 0.00";" -6.21";"nao";"0.0127026398"
"1";"27";" 3.70";" -5.98";"advocacia";"0.0144700947"
"0";"19";" 0.00";" -5.89";"lils";"0.0152218808"
"1";"25";" 4.00";" -5.35";"constitucional";"0.0206857028"
"1";"25";" 4.00";" -5.35";"garantia";"0.0206857028"
"0";"17";" 0.00";" -5.25";"fundamental";"0.0218889198"
"0";"17";" 0.00";" -5.25";"cf";"0.0218889198"
"0";"16";" 0.00";" -4.94";"palestra";"0.0262719822"
"7";"60";"11.67";" -4.88";"interceptação";"0.0271147941"
"2";"30";" 6.67";" -4.80";"art";"0.0285180303"
"0";"15";" 0.00";" -4.62";"empresa";"0.0315566962"
"0";"15";" 0.00";" -4.62";"pessoal";"0.0315566962"
"0";"14";" 0.00";" -4.31";"querer";"0.0379388685"
"0";"14";" 0.00";" -4.31";"número";"0.0379388685"
"0";"14";" 0.00";" -4.31";"ficar";"0.0379388685"
"0";"14";" 0.00";" -4.31";"telefonia";"0.0379388685"
"0";"14";" 0.00";" -4.31";"princípio";"0.0379388685"
"1";"21";" 4.76";" -4.12";"telefone";"0.0423597287"
"1";"21";" 4.76";" -4.12";"ilícito";"0.0423597287"
"0";"13";" 0.00";" -3.99";"devido";"0.0456612278"
"0";"13";" 0.00";" -3.99";"martins";"0.0456612278"
"2";"27";" 7.41";" -3.92";"dar";"0.0477274898"
"5";"44";"11.36";" -3.68";"imparcialidade";"0.0551544632"
"0";"12";" 0.00";" -3.68";"política";"0.0550266504"
"0";"12";" 0.00";" -3.68";"democrático";"0.0550266504"
"0";"12";" 0.00";" -3.68";"contraditório";"0.0550266504"
"1";"19";" 5.26";" -3.52";"humano";"0.0607355369"
"1";"19";" 5.26";" -3.52";"bom";"0.0607355369"
"1";"19";" 5.26";" -3.52";"função";"0.0607355369"
"0";"11";" 0.00";" -3.37";"sociedade";"0.0664160939"
"0";"11";" 0.00";" -3.37";"welter";"0.0664160939"
"0";"11";" 0.00";" -3.37";"imparcial";"0.0664160939"
"1";"18";" 5.56";" -3.22";"brasileiro";"0.0727803534"
"5";"42";"11.90";" -3.19";"dever";"0.0742964933"
"2";"24";" 8.33";" -3.07";"justiça";"0.0796386974"
"2";"24";" 8.33";" -3.07";"modo";"0.0796386974"
"6";"47";"12.77";" -3.06";"lula";"0.0800462396"
"0";"10";" 0.00";" -3.06";"melhor";"0.0803134569"
"0";"10";" 0.00";" -3.06";"eleitoral";"0.0803134569"
"0";"10";" 0.00";" -3.06";"colocar";"0.0803134569"
"0";"10";" 0.00";" -3.06";"nacional";"0.0803134569"
"0";"10";" 0.00";" -3.06";"limite";"0.0803134569"
"0";"10";" 0.00";" -3.06";"grave";"0.0803134569"
"0";"10";" 0.00";" -3.06";"exemplo";"0.0803134569"
"0";"10";" 0.00";" -3.06";"único";"0.0803134569"
"0";"10";" 0.00";" -3.06";"ramal";"0.0803134569"
"0";"10";" 0.00";" -3.06";"existência";"0.0803134569"
"0";" 9";" 0.00";" -2.75";"eventual";"0.0973409847"
"0";" 9";" 0.00";" -2.75";"comportamento";"0.0973409847"
"0";" 9";" 0.00";" -2.75";"autorização";"0.0973409847"
"0";" 9";" 0.00";" -2.75";"atingir";"0.0973409847"
"0";" 9";" 0.00";" -2.75";"tender";"0.0973409847"
"0";" 9";" 0.00";" -2.75";"sítio";"0.0973409847"
"0";" 9";" 0.00";" -2.75";"separação";"0.0973409847"
"0";" 9";" 0.00";" -2.75";"realidade";"0.0973409847"
"0";" 9";" 0.00";" -2.75";"informar";"0.0973409847"
"0";" 9";" 0.00";" -2.75";"força";"0.0973409847"
"0";" 9";" 0.00";" -2.75";"estabelecer";"0.0973409847"
"5";"39";"12.82";" -2.48";"julgador";"0.1149866294"
"0";" 8";" 0.00";" -2.44";"prado";"0.1183113970"
"0";" 8";" 0.00";" -2.44";"partido";"0.1183113970"
"0";" 8";" 0.00";" -2.44";"tb";"0.1183113970"
"0";" 8";" 0.00";" -2.44";"paludo";"0.1183113970"
"0";" 8";" 0.00";" -2.44";"laura";"0.1183113970"
"0";" 8";" 0.00";" -2.44";"januario";"0.1183113970"
"0";" 8";" 0.00";" -2.44";"linha";"0.1183113970"
"0";" 8";" 0.00";" -2.44";"ideia";"0.1183113970"
"0";" 8";" 0.00";" -2.44";"essencial";"0.1183113970"
"0";" 8";" 0.00";" -2.44";"definir";"0.1183113970"
"0";" 8";" 0.00";" -2.44";"antecedente";"0.1183113970"
"3";"27";"11.11";" -2.29";"dizer";"0.1299758867"
"4";"32";"12.50";" -2.14";"sistema";"0.1431924158"
"4";"32";"12.50";" -2.14";"deltan";"0.1431924158"
"0";" 7";" 0.00";" -2.13";"tratar";"0.1443078917"
"0";" 7";" 0.00";" -2.13";"valer";"0.1443078917"
"0";" 7";" 0.00";" -2.13";"ed";"0.1443078917"
"0";" 7";" 0.00";" -2.13";"civil";"0.1443078917"
"0";" 7";" 0.00";" -2.13";"apf";"0.1443078917"
"0";" 7";" 0.00";" -2.13";"interrogatório";"0.1443078917"
"0";" 7";" 0.00";" -2.13";"vcs";"0.1443078917"
"0";" 7";" 0.00";" -2.13";"usar";"0.1443078917"
"0";" 7";" 0.00";" -2.13";"soltar";"0.1443078917"
"0";" 7";" 0.00";" -2.13";"pq";"0.1443078917"
"0";" 7";" 0.00";" -2.13";"doutrina";"0.1443078917"
"0";" 7";" 0.00";" -2.13";"direto";"0.1443078917"
"0";" 7";" 0.00";" -2.13";"concluir";"0.1443078917"
"0";" 7";" 0.00";" -2.13";"coisa";"0.1443078917"
"0";" 7";" 0.00";" -2.13";"ator";"0.1443078917"
"0";" 7";" 0.00";" -2.13";"atender";"0.1443078917"
"1";"14";" 7.14";" -2.06";"operador";"0.1512025648"
"1";"14";" 7.14";" -2.06";"decidir";"0.1512025648"
"2";"20";"10.00";" -2.00";"questão";"0.1568234181"
"2";"20";"10.00";" -2.00";"interesse";"0.1568234181"
"2";"20";"10.00";" -2.00";"acusar";"0.1568234181"
"*****";"*";"*";"*";"*";"*"
"52";"316";"16.46";"-14.93";"ser";"0.0001113638"
"11";" 95";"11.58";" -8.32";"poder";"0.0039167468"
" 3";" 43";" 6.98";" -6.75";"isso";"0.0093520771"
" 2";" 36";" 5.56";" -6.62";"p";"0.0100904281"
"13";" 94";"13.83";" -5.33";"uma";"0.0209050531"
" 0";" 16";" 0.00";" -4.94";"22";"0.0262719822"
" 0";" 15";" 0.00";" -4.62";"pro";"0.0315566962"
" 6";" 53";"11.32";" -4.53";"mais";"0.0333809889"
"17";"109";"15.60";" -4.17";"como";"0.0411050432"
" 0";" 13";" 0.00";" -3.99";"18";"0.0456612278"
" 0";" 13";" 0.00";" -3.99";"1";"0.0456612278"
" 0";" 12";" 0.00";" -3.68";"depois";"0.0550266504"
" 0";" 12";" 0.00";" -3.68";"agora";"0.0550266504"
" 2";" 26";" 7.69";" -3.63";"estado";"0.0566282052"
" 1";" 19";" 5.26";" -3.52";"11";"0.0607355369"
" 1";" 19";" 5.26";" -3.52";"inclusive";"0.0607355369"
" 0";" 11";" 0.00";" -3.37";"nome";"0.0664160939"
" 0";" 11";" 0.00";" -3.37";"dentro";"0.0664160939"
" 0";" 11";" 0.00";" -3.37";"59";"0.0664160939"
" 0";" 10";" 0.00";" -3.06";"21";"0.0803134569"
" 0";" 10";" 0.00";" -3.06";"31";"0.0803134569"
" 0";" 10";" 0.00";" -3.06";"algum";"0.0803134569"
" 1";" 17";" 5.88";" -2.92";"19";"0.0872686994"
" 0";"  9";" 0.00";" -2.75";"embora";"0.0973409847"
" 0";"  9";" 0.00";" -2.75";"24";"0.0973409847"
"12";" 76";"15.79";" -2.61";"estar";"0.1061538829"
" 3";" 28";"10.71";" -2.54";"16";"0.1109343568"
" 9";" 60";"15.00";" -2.46";"ele";"0.1167070963"
" 0";"  8";" 0.00";" -2.44";"q";"0.1183113970"
" 0";"  8";" 0.00";" -2.44";"alguma";"0.1183113970"
" 0";"  8";" 0.00";" -2.44";"35";"0.1183113970"
" 0";"  7";" 0.00";" -2.13";"15";"0.1443078917"
" 1";" 14";" 7.14";" -2.06";"25";"0.1512025648"
"*";"*";"*";"*";"*";"*"
"**";"classe";"2";"**";"";""
"****";"85";"678";"12.54";"****";""
"0";"39";"0.00";"-5.93";"judicial";"0.01487337"
"2";"65";"3.08";"-5.87";"direito";"0.01542378"
"2";"61";"3.28";"-5.24";"advogado";"0.02207626"
"0";"34";"0.00";"-5.13";"teixeira";"0.02350459"
"0";"34";"0.00";"-5.13";"condução";"0.02350459"
"0";"30";"0.00";"-4.50";"coercitivo";"0.03390971"
"0";"30";"0.00";"-4.50";"investigar";"0.03390971"
"0";"29";"0.00";"-4.34";"auto";"0.03717069"
"0";"29";"0.00";"-4.34";"terminal";"0.03717069"
"0";"28";"0.00";"-4.19";"pessoa";"0.04075003"
"0";"27";"0.00";"-4.03";"roberto";"0.04468033"
"0";"27";"0.00";"-4.03";"advocacia";"0.04468033"
"0";"26";"0.00";"-3.88";"conversa";"0.04899781"
"0";"25";"0.00";"-3.72";"federal";"0.05374291"
"0";"25";"0.00";"-3.72";"membro";"0.05374291"
"3";"60";"5.00";"-3.41";"interceptação";"0.06480051"
"1";"36";"2.78";"-3.30";"escritório";"0.06918758"
"0";"22";"0.00";"-3.26";"interceptar";"0.07102320"
"0";"22";"0.00";"-3.26";"achar";"0.07102320"
"0";"20";"0.00";"-2.95";"tribunal";"0.08566978"
"0";"20";"0.00";"-2.95";"nao";"0.08566978"
"0";"19";"0.00";"-2.80";"referido";"0.09414908"
"0";"19";"0.00";"-2.80";"pf";"0.09414908"
"0";"19";"0.00";"-2.80";"lils";"0.09414908"
"0";"19";"0.00";"-2.80";"bom";"0.09414908"
"1";"32";"3.12";"-2.71";"deltan";"0.09951991"
"0";"18";"0.00";"-2.65";"juntar";"0.10351944"
"0";"17";"0.00";"-2.50";"saber";"0.11388734"
"0";"17";"0.00";"-2.50";"mandar";"0.11388734"
"0";"17";"0.00";"-2.50";"vara";"0.11388734"
"0";"17";"0.00";"-2.50";"data";"0.11388734"
"0";"17";"0.00";"-2.50";"legal";"0.11388734"
"2";"42";"4.76";"-2.47";"dever";"0.11616058"
"1";"30";"3.33";"-2.42";"art";"0.11943036"
"0";"16";"0.00";"-2.35";"palestra";"0.12537519"
"0";"15";"0.00";"-2.20";"nota";"0.13812461"
"0";"15";"0.00";"-2.20";"grupo";"0.13812461"
"0";"15";"0.00";"-2.20";"determinar";"0.13812461"
"0";"14";"0.00";"-2.05";"número";"0.15230057"
"0";"14";"0.00";"-2.05";"novo";"0.15230057"
"0";"14";"0.00";"-2.05";"ficar";"0.15230057"
"0";"14";"0.00";"-2.05";"telefonia";"0.15230057"
"0";"14";"0.00";"-2.05";"princípio";"0.15230057"
"0";"14";"0.00";"-2.05";"deixar";"0.15230057"
"0";"14";"0.00";"-2.05";"operador";"0.15230057"
"1";"27";"3.70";"-2.00";"destacar";"0.15720298"
"1";"27";"3.70";"-2.00";"dizer";"0.15720298"
"*****";"*";"*";"*";"*";"*"
"0";"23";"0.00";"-3.41";"03";"0.06470195"
"0";"20";"0.00";"-2.95";"02";"0.08566978"
"0";"19";"0.00";"-2.80";"11";"0.09414908"
"0";"19";"0.00";"-2.80";"13";"0.09414908"
"0";"17";"0.00";"-2.50";"19";"0.11388734"
"1";"29";"3.45";"-2.28";"qual";"0.13086223"
"1";"28";"3.57";"-2.14";"16";"0.14341431"
"2";"39";"5.13";"-2.07";"sem";"0.15008580"
"0";"14";"0.00";"-2.05";"25";"0.15230057"
"*";"*";"*";"*";"*";"*"
"**";"classe";"3";"**";"";""
"****";"217";"678";"32.01";"****";""
" 4";"82";" 4.88";"-31.54";"morar";"1.948987e-08"
" 3";"57";" 5.26";"-20.45";"sérgio";"6.116405e-06"
" 4";"60";" 6.67";"-19.42";"interceptação";"1.048318e-05"
" 0";"34";" 0.00";"-16.85";"teixeira";"4.046851e-05"
" 3";"49";" 6.12";"-16.26";"paciente";"5.521994e-05"
" 0";"32";" 0.00";"-15.81";"deltan";"7.006631e-05"
" 1";"36";" 2.78";"-14.92";"escritório";"1.119045e-04"
" 0";"30";" 0.00";"-14.78";"dia";"1.211149e-04"
" 3";"45";" 6.67";"-14.22";"mpf";"1.625633e-04"
" 7";"62";"11.29";"-13.46";"magistrado";"2.441533e-04"
" 0";"27";" 0.00";"-13.24";"roberto";"2.745585e-04"
