"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9"
"1";0;0;0;0;0;0;0;0;0
"2";0;0;0;0;0;0;0;0;0
"3";0;0;0;0;0;0;0;0;0
"4";0;0;0;0;0;0;0;0;0
"5";0;0;0;0;0;0;0;0;0
"6";0;0;0;0;0;0;0;0;0
"7";0;0;0;0;0;0;0;0;0
"8";0;0;0;0;0;0;0;0;1
"9";0;0;0;0;0;0;0;0;2
"10";0;4;4;4;4;4;4;4;4
"11";0;4;4;4;4;4;4;4;4
"12";0;0;0;0;0;0;0;0;0
"13";0;0;0;0;0;0;0;0;1
"14";0;0;0;0;0;0;0;0;0
"15";0;0;0;0;0;0;0;0;0
"16";0;0;0;0;0;0;0;0;1
"17";0;0;0;0;0;0;0;0;1
"18";0;0;0;0;0;0;0;0;2
"19";0;0;0;0;0;0;0;0;0
"20";0;0;0;0;0;0;0;0;0
"21";0;0;0;0;0;0;0;0;1
"22";0;0;0;0;0;0;0;0;0
"23";0;0;0;0;0;0;0;0;0
"24";0;0;0;0;0;0;0;0;0
"25";0;0;0;0;0;0;0;0;0
"26";0;0;0;0;0;0;0;0;0
"27";0;0;0;0;0;0;0;0;0
"28";0;0;0;0;0;0;0;0;0
"29";0;0;0;0;0;0;0;0;0
"30";0;0;0;0;0;0;0;0;1
"31";0;0;0;0;0;0;0;0;0
"32";0;0;0;0;0;3;3;3;3
"33";0;0;0;0;0;0;0;0;0
"34";0;0;0;0;0;0;0;0;0
"35";0;0;0;0;0;0;0;0;0
"36";0;0;0;0;0;0;0;0;0
"37";0;0;0;0;0;0;0;0;0
"38";0;0;0;0;0;3;3;3;3
"39";0;0;0;0;0;3;3;3;3
"40";0;0;0;0;0;0;0;0;0
"41";0;0;0;0;0;0;0;0;0
"42";0;0;0;0;0;3;3;3;3
"43";0;0;0;0;0;3;3;3;3
"44";0;0;0;0;0;3;3;3;3
"45";0;0;0;0;0;0;0;0;1
"46";0;0;0;0;0;3;3;3;3
"47";0;0;0;0;0;0;0;0;2
"48";0;0;0;0;0;3;3;3;3
"49";0;0;0;0;0;3;3;3;3
"50";0;0;0;0;0;3;3;3;3
"51";0;0;0;0;0;3;3;3;3
"52";0;0;0;0;0;0;0;0;2
"53";0;0;0;0;0;3;3;3;3
"54";0;0;0;0;0;3;3;3;3
"55";0;0;0;0;0;0;0;0;1
