de;153;83;209;200
a;132;70;182;158
em;123;53;146;139
o;121;56;142;153
que;101;65;131;137
ser;52;40;120;104
por;72;36;80;72
se;54;30;86;59
não;37;30;73;49
para;47;22;52;54
ir;31;19;18;68
ter;27;15;30;69
com;31;12;39;49
ao;30;15;43;38
um;26;13;50;30
como;17;18;40;34
poder;11;9;53;22
uma;13;10;38;33
estar;12;7;18;39
haver;19;13;23;21
sua;13;13;32;8
2016;12;4;3;39
ainda;21;8;13;15
ele;9;5;7;39
mais;6;10;8;29
fazer;13;8;8;23
sobre;20;8;22;6
já;14;10;7;16
seu;12;5;23;9
todo;14;6;13;9
outro;12;5;11;15
isso;3;9;6;25
qualquer;8;7;17;6
entre;12;4;13;15
sem;13;2;16;8
quando;10;8;7;5
p;2;3;27;4
parte;7;9;11;6
4;10;3;6;8
segundo;10;4;5;3
assim;6;7;14;7
esse;8;6;7;11
contra;5;6;13;9
essa;8;5;7;10
2018;1;2;6;4
16;3;1;1;23
estado;2;1;20;3
qual;12;1;9;7
aqui;5;6;12;8
esta;5;2;8;11
após;9;1;3;6
também;4;1;7;13
04;5;1;1;9
este;5;4;4;10
19;1;0;2;14
03;4;0;1;18
tal;2;3;9;4
11;1;0;1;17
ver;4;3;5;8
até;5;4;3;8
antes;4;2;0;15
além;5;5;7;2
02;4;0;1;15
porque;3;2;5;6
inclusive;1;3;6;9
primeiro;9;1;1;3
então;6;1;3;8
diante;7;3;5;3
aquele;4;3;5;7
3;3;1;4;3
22;0;1;1;14
18;0;0;2;11
fim;5;2;6;4
13;13;0;0;6
eu;5;3;0;9
quanto;5;1;4;8
10;4;1;2;4
muito;2;2;4;8
me;2;5;2;4
sob;6;2;6;0
21;0;0;2;8
12;3;1;2;6
pro;0;1;0;14
7;4;4;4;0
25;1;0;1;12
1;0;0;8;5
hoje;3;3;4;5
2;3;2;2;4
14;1;0;1;10
dois;3;4;1;5
somente;1;1;9;2
minha;3;1;1;4
ela;1;1;6;5
acercar;5;1;2;2
31;0;0;1;9
17;3;0;0;7
tentar;1;1;1;10
tempo;5;0;2;5
quem;2;2;5;3
nenhum;4;2;3;3
depois;0;1;2;9
apenas;3;2;2;5
5;1;0;7;1
23;1;0;1;8
tudo;3;1;2;4
nome;0;0;2;9
dentro;0;5;4;2
agora;0;3;0;9
tanto;1;0;5;3
n;3;0;2;4
embora;0;1;3;5
desde;4;2;1;2
6;1;2;3;2
59;0;0;0;11
2017;3;1;1;3
15;0;0;1;6
nós;1;0;4;4
menos;4;1;2;2
lhe;1;5;1;3
isto;1;1;4;1
algum;0;3;3;4
8;3;0;1;0
si;4;1;3;1
sempre;3;1;2;1
q;0;0;0;8
perante;2;1;2;1
ontem;1;0;0;5
aí;3;0;2;2
alguma;0;1;3;4
30;1;1;1;6
29;2;0;0;5
24;0;0;0;9
2019;1;2;0;0
2015;3;0;0;1
2013;1;2;3;0
v;1;0;4;0
talvez;1;0;1;3
sequer;1;0;3;2
meu;2;1;0;1
lá;3;0;2;3
durante;3;2;1;1
b;2;0;0;6
aquela;3;2;2;1
9;1;1;2;0
35;0;0;2;6
28;0;2;0;4
26;2;0;0;4
05;3;0;0;4
tão;1;2;2;2
trabalho;2;1;0;3
pouco;1;1;0;4
excepto;3;2;1;0
demais;0;1;2;3
acima;0;0;1;2
7000;3;1;0;1
2014;0;0;5;0
08;2;0;0;1
verdade;2;1;2;1
publicamente;1;1;3;0
nossa;1;0;0;5
mim;1;2;0;2
mediante;2;2;1;1
cujo;1;2;2;0
56;0;0;0;5
54;0;0;0;3
49;1;2;1;2
41;0;1;0;4
40;0;0;0;5
33;1;0;0;5
27;0;1;0;4
2012;1;0;4;0
09;0;0;0;5
07;1;1;0;4
06;0;0;0;4
vário;3;0;2;0
você;0;0;3;1
totalmente;3;1;1;0
tipo;1;1;2;1
nada;0;0;1;3
muita;0;1;1;3
entanto;1;0;0;3
eh;0;0;1;3
cuja;0;0;2;2
claramente;1;0;4;0
cada;1;1;0;2
bastante;2;1;0;1
aparentemente;2;0;1;1
amplamente;1;0;1;1
ademais;0;1;4;0
55;0;0;0;4
53;0;0;0;5
52;0;1;0;3
46;0;0;1;3
226;2;1;0;2
2008;2;0;2;1
20;0;0;0;5
tu;0;0;0;4
três;2;0;2;0
sim;0;0;1;3
salvo;1;1;0;1
recentemente;1;1;1;1
quase;1;0;0;3
posteriormente;1;0;0;2
mal;1;0;2;1
i;0;0;2;1
hora;0;0;0;3
efetivamente;1;0;1;1
diretamente;1;1;1;1
cinco;1;0;0;3
amanhã;1;0;0;2
ali;1;0;1;1
algo;1;0;2;1
44;0;0;0;4
34;0;1;0;3
32;0;0;2;2
156;0;0;3;0
01;0;0;0;3
vinte;0;0;0;3
quatro;2;0;0;1
potencialmente;0;2;1;0
plenamente;0;0;3;0
ninguém;0;1;0;2
juridicamente;0;0;1;2
intensamente;2;1;0;0
h;0;0;3;0
eventualmente;1;1;0;1
especialmente;0;1;2;0
consequentemente;1;0;2;0
aquilo;0;1;0;2
anteriormente;0;0;3;0
ante;1;0;2;0
alguém;0;1;1;1
850;1;1;1;0
50;0;0;0;3
47;0;1;0;2
39;0;1;0;2
36;1;0;0;2
179;1;1;0;1
