"";"x"
"1";0
"2";0
"3";0
"4";0
"5";0
"6";0
"7";0
"8";1
"9";2
"10";4
"11";4
"12";0
"13";1
"14";0
"15";0
"16";1
"17";1
"18";2
"19";0
"20";0
"21";1
"22";0
"23";0
"24";0
"25";0
"26";0
"27";0
"28";0
"29";0
"30";1
"31";0
"32";3
"33";0
"34";0
"35";0
"36";0
"37";0
"38";3
"39";3
"40";0
"41";0
"42";3
"43";3
"44";3
"45";1
"46";3
"47";2
"48";3
"49";3
"50";3
"51";3
"52";2
"53";3
"54";3
"55";1
"56";3
"57";3
"58";3
"59";3
"60";0
"61";3
"62";3
"63";3
"64";3
"65";3
"66";3
"67";3
"68";3
"69";3
"70";3
"71";1
"72";3
"73";3
"74";3
"75";3
"76";3
"77";3
"78";3
"79";3
"80";3
"81";3
"82";3
"83";1
"84";3
"85";3
"86";3
"87";4
"88";3
"89";3
"90";3
"91";1
"92";3
"93";0
"94";3
"95";3
"96";3
"97";3
"98";3
"99";3
"100";3
"101";3
"102";3
"103";3
"104";3
"105";3
"106";3
"107";4
"108";3
"109";3
"110";3
"111";3
"112";3
"113";3
"114";3
"115";3
"116";3
"117";3
"118";3
"119";3
"120";3
"121";3
"122";0
"123";0
"124";1
"125";2
"126";1
"127";3
"128";0
"129";2
"130";0
"131";1
"132";1
"133";1
"134";1
"135";1
"136";2
"137";1
"138";0
"139";1
"140";0
"141";2
"142";0
"143";0
"144";0
"145";3
"146";3
"147";1
"148";4
"149";4
"150";0
"151";0
"152";2
"153";2
"154";0
"155";0
"156";0
"157";0
"158";0
"159";0
"160";2
"161";0
"162";2
"163";2
"164";3
"165";1
"166";1
"167";3
"168";0
"169";0
"170";1
"171";2
"172";1
"173";1
"174";1
"175";2
"176";2
"177";0
"178";1
"179";0
"180";1
"181";2
"182";2
"183";1
"184";0
"185";1
"186";1
"187";1
"188";1
"189";2
"190";1
"191";3
"192";4
"193";3
"194";2
"195";0
"196";0
"197";3
"198";3
"199";1
"200";1
"201";3
"202";1
"203";1
"204";2
"205";2
"206";3
"207";2
"208";0
"209";2
"210";3
"211";4
"212";3
"213";0
"214";4
"215";0
"216";4
"217";2
"218";2
"219";0
"220";0
"221";3
"222";0
"223";3
"224";3
